,Adj Close
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,2085.41505612
50,2088.35369138
51,2091.8646069
52,2095.232749
53,2098.98458738
54,2102.45247312
55,2105.9280053400003
56,2109.8029809199998
57,2113.77667476
58,2116.6919189
59,2118.71064204
60,2119.82613522
61,2121.07821042
62,2122.20354002
63,2123.73096678
64,2125.90031004
65,2128.8382104400002
66,2132.24855224
67,2134.63428466
68,2134.41562742
69,2133.10917234
70,2132.21627196
71,2130.54244384
72,2129.40415282
73,2129.20463622
74,2128.08448486
75,2127.3875073199997
76,2126.99199462
77,2126.7189965800003
78,2126.12999756
79,2125.2840014800004
80,2124.8930005
81,2125.2089965799996
82,2126.30099854
83,2126.95099854
84,2127.5480005
85,2128.92099854
86,2132.58399658
87,2138.02599854
88,2144.75499756
89,2151.66199952
90,2158.4180005000003
91,2163.63600344
92,2169.0460034400003
93,2174.03100344
94,2179.59100344
95,2184.90600344
96,2190.59200442
97,2196.8340014799996
98,2204.02000246
99,2212.13599854
100,2219.79599854
101,2228.56499756
102,2237.87899658
103,2246.1880005
104,2254.5940014800003
105,2263.19199952
106,2271.90099854
107,2281.97099854
108,2291.63099854
109,2301.9789965799996
110,2314.65699706
111,2326.6449951
112,2339.2949951
113,2351.74399412
114,2363.99699216
115,2376.07399412
116,2388.02599608
117,2400.25299314
118,2411.1599951
119,2421.9469921600003
120,2431.63699216
121,2442.64799314
122,2452.28299314
123,2460.7849951
124,2468.2249951
125,2475.52799804
126,2482.57899902
127,2489.0039990200003
128,2495.30700196
129,2501.2939990200002
130,2507.11899902
131,2513.56899902
132,2519.255
133,2525.95400392
134,2532.16800294
135,2536.63800294
136,2538.14800294
137,2539.10200196
138,2537.55900392
139,2536.6490039200003
140,2535.165
141,2537.59299804
142,2538.4760009799998
143,2539.74
144,2539.28399902
145,2540.81299804
146,2542.58299804
147,2542.65399902
148,2541.29600098
149,2539.1350049000002
150,2537.8430078399997
151,2536.48300784
152,2534.7010058799997
153,2532.3370019599997
154,2529.555
155,2526.545
156,2523.5
157,2518.125
158,2512.475
159,2507.25200196
160,2501.1490039200003
161,2495.40100588
162,2489.50100588
163,2483.00700686
164,2476.96700686
165,2470.8650049000003
166,2463.4100049
167,2456.7650049
168,2452.39200686
169,2449.00601078
170,2446.36201176
171,2441.47101078
172,2437.64301274
173,2434.43101078
174,2432.8170117600002
175,2432.48301274
176,2433.17301274
177,2434.2810107799996
178,2435.3490088199997
179,2435.74601078
180,2435.74401372
181,2434.2950147
182,2432.76101568
183,2428.45701176
184,2424.36601078
185,2420.7700147
186,2418.2070166599997
187,2416.47301764
188,2416.7720166599997
189,2416.7260156800003
190,2416.75301764
191,2413.5200196
192,2411.6100195999998
193,2409.90102058
194,2409.4630225399997
195,2407.7440235199997
196,2405.6150196
197,2404.2210205799997
198,2405.32801764
199,2405.9500147
200,2406.45801274
201,2405.8170117600002
202,2404.63601078
203,2404.22301274
204,2404.10101568
205,2401.7520166599998
206,2399.35301764
207,2399.7350195999998
208,2402.15901862
209,2403.5000196
210,2402.68901862
211,2400.1750196
212,2397.42901862
213,2397.10602058
214,2396.9830225399996
215,2396.91602058
216,2398.11102058
217,2398.0170215599996
218,2398.00702156
219,2398.47901862
220,2398.4350147
221,2400.72801274
222,2402.79201176
223,2405.6050097999996
224,2408.41101078
225,2410.4280078399997
226,2412.17300784
227,2414.85200686
228,2416.50200686
229,2419.1830078400003
230,2422.0250049
231,2424.99700686
232,2427.82100588
233,2431.7200098
234,2436.56800784
235,2442.0100049000002
236,2446.51400392
237,2449.815
238,2453.11800294
239,2458.2630029399998
240,2465.57700196
241,2474.5930029399997
242,2483.42700196
243,2490.2060009799998
244,2498.04899902
245,2505.995
246,2514.86400392
247,2523.89800294
